N,DR,K,f,q_global,groups,P_phase,P_first_view_theory,P_final_3views,P_final_5views,P_first_view_exp,P_final_exp
26,92,5,8,17,"[6, 5, 5, 5, 5]",0.9019816148343157,0.7338259341816363,0.9811419312130641,0.998663931599499,0.196,0.887
28,92,5,9,19,"[6, 6, 6, 5, 5]",0.914464146932854,0.7647157742889209,0.9869749789294563,0.9992789521976011,0.058,0.608
30,92,5,9,19,"[6, 6, 6, 6, 6]",0.9799486899725073,0.9410441732888465,0.9997950819563651,0.9999992877480149,0.089,0.819
32,92,6,10,21,"[6, 6, 5, 5, 5, 5]",0.930041957826818,0.8044658728849997,0.9925240274012859,0.9997141666924267,0.189,0.847
34,92,6,11,23,"[6, 6, 6, 6, 5, 5]",0.9419026560000373,0.8356377760942932,0.9955597642765407,0.9998800472954711,0.038,0.509
36,92,6,11,23,"[6, 6, 6, 6, 6, 6]",0.9857441416103649,0.9578392161154207,0.9999250578702427,0.9999998667879889,0.053,0.709
38,92,6,12,25,"[7, 7, 6, 6, 6, 6]",0.8828611103352446,0.6881405658659583,0.969669703239543,0.9970501873572246,0.13,0.255
40,92,6,13,27,"[7, 7, 7, 7, 6, 6]",0.7349034413096601,0.3969089053021285,0.7806443894317256,0.9202162255241302,0.034,0.209
42,92,6,13,27,"[7, 7, 7, 7, 7, 7]",0.6902291653244624,0.3288364255546288,0.6976672913690141,0.8638110437031941,0.184,0.483
44,92,7,14,29,"[7, 7, 6, 6, 6, 6, 6]",0.9081254591825688,0.7489236646162447,0.9841723169952199,0.9990022335282339,0.126,0.228
46,92,7,15,31,"[7, 7, 7, 7, 6, 6, 6]",0.7723275354610535,0.46068551417707093,0.8431349268381523,0.9543742068405133,0.038,0.175
48,92,7,15,31,"[7, 7, 7, 7, 7, 7, 6]",0.7695817850401029,0.4557895250053523,0.8388238823094794,0.9522652684808317,0.162,0.447
50,92,7,16,33,"[8, 7, 7, 7, 7, 7, 7]",0.7334582305311242,0.39457190550323673,0.7780844624312218,0.9186583736994004,0.144,0.509
52,92,7,17,35,"[8, 8, 8, 7, 7, 7, 7]",0.769357599248188,0.4553913148055038,0.8384698155371373,0.9520903702017014,0.195,0.699
54,92,7,17,35,"[8, 8, 8, 8, 8, 7, 7]",0.896663297365135,0.7209218361258958,0.9782641028234221,0.9983071078743234,0.332,0.912
56,92,7,18,37,"[8, 8, 8, 8, 8, 8, 8]",0.9270585564110048,0.7967489502021786,0.9916034980679874,0.9996531321990001,0.182,0.75
58,92,8,19,39,"[8, 8, 7, 7, 7, 7, 7, 7]",0.7539216801376111,0.42852749958997177,0.8133680429373331,0.9390495826622458,0.136,0.468
60,92,8,19,39,"[8, 8, 8, 8, 7, 7, 7, 7]",0.8699332862731682,0.6583515247565689,0.9601215324858543,0.9953452384936193,0.253,0.735
62,92,8,20,41,"[8, 8, 8, 8, 8, 8, 7, 7]",0.9036319099831212,0.737861204246013,0.9819866743684067,0.9987621828376204,0.279,0.877
64,92,8,21,43,"[8, 8, 8, 8, 8, 8, 8, 8]",0.9283395343616722,0.800056277667804,0.9920067514200092,0.9996804499680396,0.143,0.619
66,92,8,21,43,"[9, 9, 8, 8, 8, 8, 8, 8]",0.9681766784340335,0.9075359784535719,0.9992094700377671,0.9999932412887658,0.197,0.832
68,92,8,22,45,"[9, 9, 9, 9, 8, 8, 8, 8]",0.9737306113239638,0.9232439483158645,0.9995477923762215,0.9999973358226418,0.219,0.79
